gene;frequency
OGG1;0.001
HAND2;0.001
CTGF;0.001
STXBP3;0.001
RIPK4;0.001
PLAUR;0.001
HK2;0.001
CFTR;0.001
COPB2;0.001
PPP2R5C;0.001
RASGRP3;0.001
PNMA1;0.001
PABPC1;0.001
MMP15;0.001
PARD6B;0.001
STK38;0.001
STX12;0.001
KDM6A;0.001
PPP2R5E;0.001
EXOSC5;0.001
ITGB1BP1;0.001
RABGGTB;0.001
CASK;0.001
RABIF;0.001
GULP1;0.001
TSC2;0.001
ERC1;0.001
TNIK;0.001
CNKSR2;0.001
EXOC7;0.001
RAD51;0.001
RPA4;0.001
RAD52;0.001
YWHAQ;0.001
CLASP2;0.001
E2F2;0.001
RING1;0.001
SNAPC3;0.001
ARG1;0.001
MDM4;0.001
RBBP4;0.001
PRKRA;0.001
TRAF1;0.001
KDM5A;0.001
MTMR11;0.001
JMJD1C;0.001
TRIP10;0.001
NR0B2;0.001
NR2E3;0.001
DCUN1D1;0.001
LAPTM5;0.001
EXOSC10;0.001
SLC9A5;0.001
RIT2;0.001
ACTN3;0.001
SUMO3;0.001
HTATSF1;0.001
HNRNPA2B1;0.001
SRPK1;0.001
CYTH1;0.001
IPO8;0.001
SHBG;0.001
SKIV2L;0.001
CLNS1A;0.001
SMNDC1;0.001
OXTR;0.001
GCA;0.001
GRIA2;0.001
SHANK1;0.001
BCAN;0.001
SNAP25;0.001
MED8;0.001
MED9;0.001
SCNN1A;0.001
SCNN1G;0.001
DAPK1;0.001
NAPA;0.001
TRAF5;0.001
SIVA1;0.001
JAK3;0.001
IL2RB;0.001
NPM1;0.001
VHL;0.001
SELL;0.001
SH2D2A;0.001
TUBA8;0.001
ALOX5;0.001
NGFR;0.001
HNRNPC;0.001
CSF1R;0.001
SGTA;0.001
AKAP8L;0.001
MYO7A;0.001
MYOM2;0.001
ANKRD2;0.001
WEE1;0.001
NFYC;0.001
PURA;0.001
KLF6;0.001
SKIV2L2;0.001
FBXO5;0.001
GTF2A2;0.001
YAP1;0.001
CTDSP1;0.001
PLEKHB1;0.001
MMS19;0.001
OCRL;0.001
RAPGEF1;0.001
IKZF3;0.001
TTC1;0.001
GMEB1;0.001
CCNT1;0.001
DNMT3A;0.001
GUCY2C;0.001
ACVRL1;0.001
STRAP;0.001
KAT2A;0.001
MAML3;0.001
EXOSC8;0.001
TNNI1;0.001
TNNT3;0.001
SIRT2;0.001
STARD13;0.001
TNFAIP3;0.001
PTGS2;0.001
PLK3;0.001
MED17;0.001
CUL9;0.001
RCHY1;0.001
BANP;0.001
TLR2;0.001
TNK2;0.001
RIPK1;0.001
BAG4;0.001
SPRY1;0.001
SYNJ1;0.001
SYNJ2;0.001
KIDINS220;0.001
GGA3;0.001
ARVCF;0.001
ADAMTS1;0.001
AVPR1B;0.001
CASP9;0.001
PLA2G4A;0.001
CORO2B;0.001
CDCA3;0.001
LIG3;0.001
MZF1;0.001
FANCE;0.001
PRDX6;0.001
DLG3;0.001
SFI1;0.001
GRM8;0.001
GRM4;0.001
STX7;0.001
MAP3K7;0.001
HTRA2;0.001
RAB9A;0.001
RANBP10;0.001
ARHGEF7;0.001
NRXN2;0.001
TRA2B;0.001
CUL7;0.001
HLA-C;0.001
MBL2;0.001
PRF1;0.001
VCP;0.001
MYD88;0.001
BAD;0.001
TTC19;0.001
SH3BP5;0.001
EPS15;0.001
STMN2;0.001
SNRPB2;0.001
PGM5;0.001
FYB;0.001
TCEA2;0.001
UBE2N;0.001
VIPR2;0.001
HIVEP1;0.001
FXR1;0.001
CAMK1;0.001
PPIA;0.001
TAF12;0.001
NR2C2;0.001
RAC3;0.001
RNF4;0.001
NISCH;0.001
REM1;0.001
CDK5R2;0.001
TMBIM6;0.001
BECN1;0.001
ICAM5;0.001
DR1;0.001
BARD1;0.001
WNK1;0.001
CAMK4;0.001
NFE2;0.001
HDAC7;0.001
MAGI2;0.001
MAFK;0.001
FSHR;0.001
FASN;0.001
PRKG2;0.001
CCL21;0.001
RCVRN;0.001
MAPKAPK3;0.001
DUSP10;0.001
CLIC5;0.001
TNFSF4;0.001
LSM7;0.001
CSTF2;0.001
IMMT;0.001
MEP1B;0.001
OS9;0.001
RFC5;0.001
TRIM25;0.001
PIP5K1A;0.001
ARFIP2;0.001
SPTBN4;0.001
PMF1;0.001
HLA-E;0.001
CD1B;0.001
FCGRT;0.001
TBX2;0.001
SSRP1;0.001
WWTR1;0.001
PDE5A;0.001
DEDD;0.001
KEL;0.001
CRADD;0.001
PSME1;0.001
ITGAM;0.001
CD79B;0.001
CSPG4;0.001
HSPG2;0.001
APH1B;0.001
SCNN1D;0.001
LRRC41;0.001
GDF5;0.001
DYNLT1;0.001
INHBA;0.001
HEY2;0.001
NUP54;0.001
ILF2;0.001
ABCC9;0.001
SALL1;0.001
DCP1A;0.001
HTR6;0.001
RGS7;0.001
FFAR2;0.001
CLDN5;0.001
KIF1B;0.001
TJAP1;0.001
AMFR;0.001
NSFL1C;0.001
UBE4B;0.001
NOS3;0.001
AP2S1;0.001
NAGPA;0.001
PKMYT1;0.001
RND1;0.001
CDC25C;0.001
RANGAP1;0.001
MCM6;0.001
DNAJB1;0.001
PITPNM1;0.001
DNMT3B;0.001
SAP18;0.001
MBD3;0.001
DNMT3L;0.001
MAP4K3;0.001
UCP2;0.001
RFC3;0.001
IGLC1;0.001
PI4KB;0.001
KPNA5;0.001
PTGS1;0.001
CDC42BPA;0.001
KIF5A;0.001
MLH1;0.001
RELA;0.001
CCND1;0.001
STUB1;0.001
NUAK1;0.001
NUDC;0.001
FNBP1;0.001
DYNC1I1;0.001
DNM3;0.001
ATF7;0.001
PI3;0.001
CNOT8;0.001
YEATS4;0.001
PGR;0.001
BFAR;0.001
NR1H4;0.001
RERE;0.001
SORBS3;0.001
DYRK2;0.001
TOMM22;0.001
ARNTL2;0.001
CDON;0.001
DFFB;0.001
DFFA;0.001
GRIK2;0.001
SENP6;0.001
SENP2;0.001
CR2;0.001
PHC1;0.001
MTA2;0.001
TRPV6;0.001
ASPM;0.001
TACC1;0.001
GABRA1;0.001
GABRG2;0.001
KIF22;0.001
PPP3R1;0.001
CAB39;0.001
UBA2;0.001
PLK2;0.001
TRAM1;0.001
DPYSL2;0.001
KIF17;0.001
POMP;0.001
SLC4A7;0.001
MAPT;0.001
MAP3K3;0.001
MYF5;0.001
MBD4;0.001
NELL2;0.001
NOVA1;0.001
RAB33B;0.001
PYGO1;0.001
REV1;0.001
TNFRSF25;0.001
BNIP2;0.001
TRIM3;0.001
SAFB2;0.001
PEPD;0.001
STAMBPL1;0.001
DCTN2;0.001
QKI;0.001
MLLT1;0.001
CHFR;0.001
ERC2;0.001
SRRM2;0.001
HIST1H1C;0.001
VPS33A;0.001
RCN1;0.001
CDCA8;0.001
CDK5RAP2;0.001
EBI3;0.001
GATAD2A;0.001
RPS6KC1;0.001
SYTL2;0.001
EIF2B4;0.001
EIF3K;0.001
ZWINT;0.001
PPIF;0.001
RFC1;0.001
TBC1D4;0.001
RRN3;0.001
CNOT1;0.001
EEF1D;0.001
LUC7L;0.001
CAMKK2;0.001
RGS1;0.001
BACE1;0.001
RALGPS2;0.001
TBC1D1;0.001
ASCL3;0.001
IL21;0.001
MT2A;0.001
RAB11FIP4;0.001
RAB11FIP5;0.001
HMGA2;0.001
CDC42EP1;0.001
CDC42EP3;0.001
CPEB1;0.001
POLR2C;0.001
WTAP;0.001
SEC23A;0.001
DNAJC6;0.001
HEBP2;0.001
CFDP1;0.001
SHMT2;0.001
IRX4;0.001
SHMT1;0.001
POLR1B;0.001
EYA2;0.001
CUL4A;0.001
DET1;0.001
ACD;0.001
ACADM;0.001
CCNK;0.001
SLC5A7;0.001
STRN3;0.001
MTMR6;0.001
EIF2B3;0.001
FXYD7;0.001
CBX2;0.001
POLR2D;0.001
GNG12;0.001
MAP1LC3B;0.001
EIF1;0.001
GEM;0.001
CTNNA3;0.001
AJAP1;0.001
KLHL20;0.001
MAPRE2;0.001
DDX56;0.001
TSPYL4;0.001
RBL1;0.001
DBP;0.001
CCND3;0.001
ERCC2;0.001
CHAF1B;0.001
LZTS1;0.001
USP16;0.001
MXI1;0.001
HPS5;0.001
GTF2H5;0.001
ITGB7;0.001
ZFHX3;0.001
GNAZ;0.001
ITGA8;0.001
B4GALT1;0.001
S100A7;0.001
CD74;0.001
POLR2B;0.001
NCF2;0.001
NKIRAS2;0.001
S100A8;0.001
ACPP;0.001
FGD1;0.001
AGGF1;0.001
CALCR;0.001
CENPA;0.001
CHRM4;0.001
DDX3X;0.001
FCHO1;0.001
INPP5B;0.001
LONRF3;0.001
PEX6;0.001
PWP1;0.001
RNF5;0.001
FGF7;0.001
PGRMC1;0.001
METTL1;0.001
CECR5;0.001
RAP1GAP;0.001
ICAM1;0.001
NUP214;0.001
SORD;0.001
DNAJB2;0.001
NDUFA13;0.001
CCL7;0.001
KIR2DL2;0.001
ITGAL;0.001
ITIH2;0.001
SLC4A1;0.001
CBS;0.001
S100A9;0.001
NRG1;0.001
NPR1;0.001
SERPINB2;0.001
FCER1G;0.001
CDX2;0.001
CDC27;0.001
ATRX;0.001
DRP2;0.001
ADCY6;0.001
DGKD;0.001
AIF1;0.001
PEX5;0.001
LIG4;0.001
DNASE1;0.001
CGA;0.001
CRYAA;0.001
CD55;0.001
NOTCH4;0.001
PKD2;0.001
GLUD2;0.001
LCN2;0.001
CCIN;0.001
APPBP2;0.001
SLC12A2;0.001
DCTD;0.001
ZHX3;0.001
CDX1;0.001
CFH;0.001
MAGOHB;0.001
FOSL1;0.001
HOXA1;0.001
MEA1;0.001
IFIT1;0.001
PFKL;0.001
RPS25;0.001
VIL1;0.001
MAG;0.001
PIM2;0.001
TEX11;0.001
RAB33A;0.001
PQBP1;0.001
NT5C2;0.001
AQP5;0.001
PHF1;0.001
STC2;0.001
CCL18;0.001
SULT2B1;0.001
CPNE7;0.001
TSGA10;0.001
SEC24C;0.001
CNNM3;0.001
CHGB;0.001
CEP72;0.001
KCTD17;0.001
CEP63;0.001
NUDT18;0.001
C11orf49;0.001
RCOR3;0.001
ZBTB43;0.001
ATG12;0.001
GJA5;0.001
ZNF764;0.001
C21orf91;0.001
BAHD1;0.001
C10orf10;0.001
MAPK1IP1L;0.001
SETD5;0.001
ROGDI;0.001
KLHL12;0.001
C19orf57;0.001
CXCR1;0.001
ARHGEF5;0.001
CD3EAP;0.001
HES1;0.001
IL1R1;0.001
FOSB;0.001
PAX8;0.001
USP11;0.001
SLC30A9;0.001
KRT2;0.001
MTSS1;0.001
PSMA5;0.001
SLC6A3;0.001
PSMA2;0.001
TTC27;0.001
MRE11A;0.001
SLC8A2;0.001
AREG;0.001
ICAM3;0.001
STK38L;0.001
UQCRC1;0.001
FAU;0.001
ATP5B;0.001
HK1;0.001
IL6;0.001
LAMC1;0.001
LIPE;0.001
CHRNB1;0.001
RAB8A;0.001
PGAM1;0.001
ZNF7;0.001
TSPAN6;0.001
AHSG;0.001
GBP2;0.001
DAP;0.001
GOLGB1;0.001
ABCD4;0.001
BBOX1;0.001
DYNC1I2;0.001
BCS1L;0.001
TCL1B;0.001
DDX18;0.001
GLYAT;0.001
SLC1A6;0.001
ABCF1;0.001
CELSR3;0.001
PLEKHM1;0.001
RALY;0.001
ANXA9;0.001
TMEM11;0.001
LAPTM4A;0.001
RPL8;0.001
CAND2;0.001
GRIP1;0.001
KSR1;0.001
TRIAP1;0.001
VAC14;0.001
GNE;0.001
PSMB6;0.001
CRNKL1;0.001
NOTCH2NL;0.001
NUMA1;0.001
SRPX2;0.001
POLI;0.001
MEN1;0.001
VARS;0.001
EEF2;0.001
NR4A3;0.001
ARHGAP17;0.001
LMOD1;0.001
DEGS1;0.001
SCN10A;0.001
EIF4EBP2;0.001
CEP350;0.001
GLP2R;0.001
PFKFB2;0.001
CIC;0.001
CSTF2T;0.001
CHRM3;0.001
BPGM;0.001
HRH4;0.001
F2R;0.001
CD163;0.001
FDXR;0.001
IGFBP4;0.001
HDLBP;0.001
HMGCR;0.001
IL9R;0.001
AHCYL1;0.001
SIGMAR1;0.001
IL11RA;0.001
IL21R;0.001
TP53AIP1;0.001
COL4A3;0.001
KCNE1;0.001
KIF18A;0.001
MYCN;0.001
SLC7A7;0.001
NPY1R;0.001
NPAT;0.001
QRICH1;0.001
TIMM50;0.001
THOC5;0.001
PAX1;0.001
RRBP1;0.001
GPM6A;0.001
CHAT;0.001
GOLGA4;0.001
SCP2;0.001
CASQ2;0.001
C16orf59;0.001
SSR4;0.001
EDA2R;0.001
TAF7L;0.001
PPP2R3B;0.001
ARHGEF9;0.001
AQP4;0.001
IL18;0.001
EDN3;0.001
ICAM4;0.001
NRF1;0.001
RIF1;0.001
TOP3A;0.001
RND2;0.001
POU4F2;0.001
UCP1;0.001
CCDC6;0.001
CLOCK;0.001
REV3L;0.001
MARCKSL1;0.001
ARID5A;0.001
ARPC5;0.001
CNOT3;0.001
PPP1R2P9;0.001
ZNF330;0.001
POLE2;0.001
TTC17;0.001
LZTR1;0.001
FAM193B;0.001
WDR13;0.001
SH3BGR;0.001
UFSP2;0.001
POR;0.001
NDUFB1;0.001
ELAVL3;0.001
KRT6B;0.001
SLC25A36;0.001
DPPA4;0.001
CCDC130;0.001
SNX7;0.001
OTUB2;0.001
GNL3L;0.001
PBXIP1;0.001
CHMP7;0.001
PLAC8;0.001
HDHD3;0.001
FAM127B;0.001
WDR25;0.001
BAALC;0.001
DCAF8;0.001
ZBTB24;0.001
PPP2R2B;0.001
C1orf61;0.001
HOXB8;0.001
ARMCX3;0.001
AGK;0.001
CELSR1;0.001
TRIOBP;0.001
ZNF277;0.001
WDR91;0.001
MRPL9;0.001
PANK4;0.001
NRSN2;0.001
RNF32;0.001
SLC38A2;0.001
AFG3L2;0.001
MEX3D;0.001
LRRC59;0.001
MTCH2;0.001
AOX1;0.001
LECT1;0.001
ADCY2;0.001
GFPT1;0.001
GUCY1B3;0.001
CCDC134;0.001
HOXC8;0.001
ITIH3;0.001
LTK;0.001
TRIM62;0.001
ST6GALNAC2;0.001
ITGA7;0
PAK1;0
MUC4;0
VAV1;0
SLA;0
LAT;0
ARHGDIB;0
AOC3;0
NEK3;0
VAV2;0
DOCK2;0
GP6;0
ELF1;0
NKRF;0
DMP1;0
PPP4C;0
NUP155;0
REL;0
KITLG;0
GRAP;0
GRAP2;0
SH2B3;0
CD24;0
CCR3;0
SLAMF1;0
INPP5D;0
INS;0
S100A4;0
FZD5;0
C9;0
ROR2;0
FZD1;0
MAP4K2;0
C8A;0
RIMS2;0
PGF;0
VEGFB;0
ERG;0
CD2;0
GRIA3;0
PDE4A;0
SLC6A8;0
NCR1;0
SKAP2;0
NCR3;0
PPP1R15A;0
BANK1;0
CHST15;0
SEMA4D;0
FOSL2;0
TSC22D3;0
DDX21;0
PACS1;0
HHEX;0
BATF;0
CTRL;0
EIF4G1;0
RHOT2;0
NONO;0
IRF8;0
IRF4;0
KLHL3;0
ZIC1;0
ZIC3;0
TWIST1;0
KLK3;0
ITK;0
UBE2D2;0
UBE2L3;0
CTRC;0
SORBS1;0
PTPN22;0
FRS2;0
EIF5B;0
DNAJC1;0
CDKL2;0
PGGT1B;0
ARHGDIG;0
ARHGEF3;0
KCNA2;0
OPHN1;0
MCF2;0
KTN1;0
DGKQ;0
ARHGEF4;0
CTSS;0
GMIP;0
MCF2L;0
OAZ2;0
ACP5;0
GRN;0
ITGA9;0
VAPA;0
AVP;0
OXT;0
PCSK6;0
WBP2;0
PAX9;0
MAFF;0
REG3A;0
TRHDE;0
NFX1;0
SERPINC1;0
SPG20;0
PTH1R;0
PTH2R;0
IFI27;0
CDK6;0
RBX1;0
HERC5;0
ADRA1A;0
TAP2;0
RASSF9;0
DYNC1LI1;0
PRPH2;0
PEX10;0
ABCD3;0
COL6A2;0
ABCD2;0
DAP3;0
NRBF2;0
SCYL2;0
GPC4;0
GPLD1;0
PIGK;0
CD28;0
TESC;0
CSF2RA;0
SYN1;0
INPP4A;0
TAF1A;0
CAPN3;0
PIK3CD;0
AGAP2;0
IFNW1;0
IFNA2;0
GABRB1;0
PRKAA2;0
PRKAA1;0
IFNB1;0
APOA1;0
PPP1R3A;0
SLN;0
BGN;0
PLAA;0
PLA2R1;0
PITPNA;0
DAB1;0
STAT2;0
SNAP91;0
LAT2;0
TNK1;0
SOCS7;0
NIT1;0
ZBTB44;0
PHKG1;0
PITX1;0
ZMYM5;0
RNASE1;0
PROC;0
HIPK1;0
SERPINE1;0
IFNG;0
SPARC;0
C7;0
AMOT;0
SERPINI1;0
CPB2;0
DEK;0
SERPING1;0
CHGA;0
NGF;0
TFPI2;0
CKAP4;0
FAP;0
MMP12;0
RGS4;0
PDAP1;0
PTPN2;0
THBD;0
CXCR3;0
LDLR;0
LRP5;0
ACHE;0
SNX6;0
SELP;0
DYNLT3;0
CD226;0
APOC1;0
APOD;0
RBM14;0
APOF;0
SSBP1;0
MAPRE1;0
KCNQ1;0
KCNA4;0
KCNAB1;0
KCNA3;0
E4F1;0
DLG2;0
SNTG1;0
RBP4;0
SECISBP2;0
VASP;0
FMNL1;0
ENAH;0
APBB1IP;0
NCAM2;0
ADAM23;0
OPCML;0
LSAMP;0
MOG;0
ERI3;0
MAP3K10;0
ZNF484;0
IGFBP7;0
HLA-DQB1;0
SUB1;0
LIPC;0
HUS1;0
MTTP;0
POLE;0
SGCD;0
MCL1;0
ZNF587;0
DSCC1;0
MCHR1;0
PZP;0
MC2R;0
MC5R;0
PDIA4;0
PSMB9;0
PROS1;0
PROCR;0
SEC61B;0
TMEM57;0
ASH2L;0
SEC61A2;0
MYOT;0
MAPK8IP3;0
SIGLEC7;0
SIT1;0
PILRA;0
FRS3;0
C6orf25;0
LILRB4;0
GRID2;0
TTC37;0
SSTR2;0
NAGK;0
SIL1;0
CLEC4A;0
LILRB2;0
DKK1;0
LRP8;0
GLRX;0
CLK2;0
CLK1;0
RYR2;0
SCTR;0
SEMG2;0
AKAP1;0
GZMA;0
AKAP3;0
AKAP6;0
AKAP10;0
RAB32;0
ARFGEF2;0
AKAP7;0
PRKAR2B;0
AKAP4;0
PPP2CB;0
C6;0
F9;0
SERPINB8;0
F2RL2;0
F2RL3;0
F11;0
PYGM;0
AGER;0
IL13RA1;0
STAM2;0
FGF9;0
EFNA1;0
EFNA2;0
TYROBP;0
SREBF2;0
MAP2K2;0
STAT5A;0
PTPRH;0
PTPRR;0
RPS6KA4;0
TNIP1;0
MAPK4;0
SEMG1;0
KCND2;0
XK;0
AVPR1A;0
TEP1;0
CEP135;0
KCNE4;0
MDK;0
GCNT1;0
MKI67;0
MAN1C1;0
SCN3A;0
GAD2;0
CHPF;0
GABRA4;0
PDE4D;0
IFNAR2;0
RASA3;0
NSMAF;0
LRP12;0
MAP2K5;0
GTPBP1;0
MMP16;0
GUCY2D;0
TNF;0
SERPINA1;0
CAMP;0
PRTN3;0
PSMB8;0
KRAS;0
CD47;0
EPB42;0
COLQ;0
DMBT1;0
MFAP4;0
VPS8;0
PDHA2;0
PDHA1;0
CTR9;0
PTP4A2;0
UBR2;0
ABCC2;0
CHM;0
NOS1AP;0
RAB3IL1;0
DMXL2;0
IQGAP2;0
ECT2;0
ELMO1;0
ELMO2;0
ANAPC10;0
RABGGTA;0
MICALL1;0
ZNF592;0
BLZF1;0
MTMR10;0
STX4;0
RABEP1;0
KIF3B;0
RUFY1;0
MAN1A2;0
BICD1;0
GOLGA1;0
RABGAP1;0
BICD2;0
UBA6;0
RIN3;0
RGS14;0
KRIT1;0
RAPGEF5;0
EXOC5;0
EXOC1;0
RALBP1;0
REPS1;0
EXOC3;0
RAB8B;0
EXOC2;0
PHKA2;0
REPS2;0
ROM1;0
CNGB1;0
RUFY2;0
RAG2;0
DMC1;0
RAD51AP1;0
RAD54L;0
SELE;0
BCCIP;0
GRK1;0
RANBP1;0
RANBP3;0
ATP6AP2;0
RPA3;0
AIMP1;0
MSH4;0
SERTAD3;0
TMPO;0
E2F4;0
RBBP9;0
SNW1;0
CBX4;0
USP4;0
CCNT2;0
TRIP11;0
FRK;0
EID1;0
RNF40;0
THOC1;0
ARID3B;0
TNFSF13;0
NR4A2;0
NCOA2;0
EDF1;0
DIAPH3;0
CLPB;0
ZNF83;0
SAG;0
GNGT1;0
ISL1;0
ELF2;0
RRM1;0
ABCE1;0
MAN2B1;0
UNC45A;0
UBQLN2;0
LBP;0
VDAC2;0
RPLP2;0
DDX17;0
ARSF;0
DVL1;0
TRDN;0
RYR3;0
FKBP1B;0
SCT;0
TRIM23;0
ARFRP1;0
CYTIP;0
CTSK;0
DVL2;0
HTR1D;0
TGM1;0
TRHR;0
IPO7;0
CCR8;0
SNRPD3;0
SNRPD1;0
STXBP2;0
TOP3B;0
WDR77;0
WBP4;0
CCL4;0
NTSR1;0
CCR1;0
CCR4;0
SLC9A3;0
PDZK1;0
FXYD2;0
SSTR5;0
CORT;0
SST;0
PTAFR;0
AVPR2;0
ADCY10;0
AP1B1;0
ACTR1A;0
SPTB;0
FANCC;0
AP1G1;0
CSRP3;0
NTS;0
SPAG4;0
ACR;0
ZPBP;0
TRH;0
OVGP1;0
GRIA4;0
FLT3LG;0
CLEC11A;0
ACOX1;0
NAA10;0
EHHADH;0
ACAA2;0
YY1;0
NR0B1;0
TBX19;0
SOX2;0
GATA4;0
TIMP1;0
SPOCK3;0
HIST1H1E;0
MMP25;0
SYNCRIP;0
ZDHHC17;0
DRD4;0
SV2B;0
NRXN1;0
VAPB;0
EGF;0
SYP;0
SYPL1;0
TUBA1A;0
VAMP7;0
SEPT2;0
UNC13B;0
STXBP6;0
SNAP29;0
SNPH;0
FLT3;0
VAMP3;0
CD70;0
CD3D;0
CD8A;0
ITGA1;0
CD86;0
DUSP14;0
LRRC23;0
LY6E;0
CD3G;0
SECTM1;0
PI4KA;0
MYOZ2;0
LMO1;0
HLA-DRB1;0
DPP4;0
PIP;0
GLMN;0
ARFGEF1;0
WRNIP1;0
MXD1;0
CD2BP2;0
TCP10;0
NCAPG2;0
ELSPBP1;0
DRG1;0
SMG6;0
SMG5;0
NCAN;0
SCARB2;0
CORO1A;0
THBS3;0
GMCL1;0
HIST1H4A;0
HIST1H2AJ;0
ADAM17;0
MYBPC3;0
MYOM1;0
ANKRD1;0
RNF2;0
CNTN2;0
CIITA;0
SP4;0
ZBTB7A;0
POGZ;0
DRAP1;0
CHRND;0
TCEA1;0
GTF2H4;0
SUPT16H;0
MED23;0
VGLL1;0
VGLL4;0
TAF5;0
TRAM2;0
GNB5;0
BRD2;0
SP2;0
TOPBP1;0
HNRNPU;0
KIF13A;0
SH2D1A;0
HFE;0
SHOC2;0
RASGRP1;0
BRAP;0
RGL1;0
RASSF2;0
ART1;0
RASGRP2;0
SUPT3H;0
NMI;0
MYCBP2;0
SPAG9;0
MINA;0
PTPRE;0
ASAP1;0
SSX2IP;0
AGTR2;0
NRG2;0
FMOD;0
FCN1;0
LTBP3;0
ITGB8;0
RAPSN;0
AMHR2;0
TGFBRAP1;0
MAP4K1;0
EIF5A;0
KPNA4;0
CNTNAP2;0
MFNG;0
MAPK12;0
WDR12;0
TNNT2;0
TMOD2;0
TNNC1;0
TNNC2;0
PKD2L1;0
AICDA;0
RHEB;0
NEK1;0
PFDN4;0
LGALS2;0
NCALD;0
TAOK2;0
ARL8B;0
PCNT;0
RNF19A;0
TUBGCP3;0
LDB3;0
TNIP2;0
EPHA5;0
NEU3;0
ELL;0
MERTK;0
ZNF148;0
COPS3;0
PRIM1;0
TLR4;0
ERAP1;0
TRPC4AP;0
LAX1;0
TRAIP;0
HIVEP3;0
VEGFC;0
RUSC1;0
SHC3;0
ZRSR2;0
DDX6;0
KHDRBS2;0
CBLL1;0
CCL17;0
CCL22;0
NRP2;0
ADAM28;0
RELN;0
ARMCX2;0
BFSP1;0
DNM1L;0
OSBP2;0
ASGR2;0
KLF1;0
TG;0
VBP1;0
RNF139;0
CUL2;0
HIF3A;0
ZNF174;0
SCAND1;0
SERPINA10;0
FANCG;0
FANCF;0
ZBTB32;0
KLKB1;0
PLN;0
HABP2;0
CPN1;0
FDPS;0
CTSA;0
NEU1;0
TPST1;0
OSGEP;0
KCNMA1;0
ATP6V0A4;0
RAC2;0
DLAT;0
DLD;0
COG5;0
GUSB;0
SLC4A4;0
SLC4A8;0
KLK13;0
HEXA;0
USH1C;0
VEZT;0
KEAP1;0
LSM3;0
RAD23B;0
MID1;0
IL2RG;0
CASR;0
GRM5;0
PDCD2;0
PSIP1;0
CREB3;0
CREBZF;0
HCFC1R1;0
MTUS1;0
RGS3;0
RAD21;0
GUCA1B;0
PRX;0
FXN;0
MAGED1;0
DIABLO;0
XAF1;0
IDH3B;0
SSR3;0
ALDOB;0
ATP6V1G2;0
RHOH;0
ATP6V1H;0
BYSL;0
TRAPPC2;0
PPP6C;0
PAK3;0
GIT2;0
NPPB;0
NPPC;0
LIN7A;0
CADM1;0
TBR1;0
NRXN3;0
LIN7B;0
SSB;0
MED12;0
CDK8;0
MED13;0
NLGN3;0
FBP1;0
GUCY1A2;0
CORO2A;0
GRP;0
NCS1;0
SPOCK2;0
PJA1;0
DLX5;0
DLX4;0
PJA2;0
LRPPRC;0
LPP;0
RAB11B;0
ZFAND5;0
SLC6A4;0
HIST1H3A;0
SBF1;0
TRAK2;0
PARVB;0
HDAC11;0
EDA;0
KCNIP1;0
IRAK3;0
IRAK4;0
SIGIRR;0
TM9SF2;0
RABEPK;0
ATF6B;0
IBTK;0
SCARF1;0
CAND1;0
NXT2;0
HNRNPUL1;0
NXT1;0
ASAP2;0
TRIM21;0
ZBTB33;0
TRPC4;0
ACE2;0
SF3A2;0
SUPT4H1;0
TROVE2;0
TIMM13;0
SMPD1;0
GFI1;0
SH3GL2;0
LHX3;0
LHX2;0
LHX1;0
LDB2;0
CD5L;0
IGHG1;0
GAS6;0
IGHD;0
BCAP29;0
LST1;0
ETF1;0
DLGAP2;0
RNF128;0
EDAR;0
POU3F2;0
TXNL4A;0
SUCLG2;0
SUCLA2;0
AP3B1;0
WISP1;0
HCLS1;0
SHH;0
PPM1G;0
LMAN1;0
FGF23;0
HPRT1;0
CD84;0
SLAMF7;0
IL15;0
IL15RA;0
CA4;0
NUFIP1;0
TIMM44;0
RHAG;0
STK16;0
PIGH;0
DPM2;0
PRPSAP1;0
PHKA1;0
RBMS1;0
PDK1;0
SLC4A1AP;0
PDK3;0
PDK4;0
LIN7C;0
UBE2D3;0
SYN2;0
SYN3;0
TAF15;0
ASF1A;0
ASF1B;0
FOXA1;0
CD244;0
SRY;0
ETV5;0
RAD54L2;0
SART3;0
ZMIZ1;0
EFCAB6;0
TFEB;0
TFEC;0
RFX3;0
YAF2;0
ATF6;0
SS18;0
ACTL6B;0
LBR;0
FNBP4;0
KIF5C;0
SCN4A;0
MAST1;0
RTN1;0
BNIP1;0
FKBP8;0
BCL2L14;0
ANTXR1;0
BCL2L10;0
PMAIP1;0
MAP2K7;0
KIF3A;0
ESM1;0
VNN2;0
ANKS1B;0
LRP2BP;0
ANKRA2;0
SNAPC4;0
IKZF1;0
BTAF1;0
GTF3C3;0
ABT1;0
APOL1;0
LCAT;0
RAPGEF3;0
STX2;0
ADAMTS5;0
SGCB;0
A1CF;0
ALX1;0
TGS1;0
PCMT1;0
SS18L1;0
SRCAP;0
ITPR2;0
WDR44;0
SEC31A;0
HYAL2;0
PIK3C3;0
GUCA2B;0
RGS9;0
DHPS;0
XPO4;0
SIX3;0
PTRH2;0
FOXA2;0
MLLT10;0
NFE2L3;0
BACH2;0
BAIAP2;0
S100A12;0
ANGPT1;0
ANGPT2;0
ANGPT4;0
DOK2;0
GCHFR;0
RGS12;0
FOXE1;0
CAMK2B;0
HIRIP3;0
NFU1;0
CCR7;0
CCL19;0
CCL25;0
CCL27;0
